group,subgroup,codepoints,status,emoji,name
Smileys & Emotion,face-smiling,1F600,fully-qualified,😀,E1.0 grinning face
Smileys & Emotion,face-smiling,1F603,fully-qualified,😃,E0.6 grinning face with big eyes
Smileys & Emotion,face-smiling,1F604,fully-qualified,😄,E0.6 grinning face with smiling eyes
Smileys & Emotion,face-smiling,1F601,fully-qualified,😁,E0.6 beaming face with smiling eyes
Smileys & Emotion,face-smiling,1F606,fully-qualified,😆,E0.6 grinning squinting face
Smileys & Emotion,face-smiling,1F605,fully-qualified,😅,E0.6 grinning face with sweat
Smileys & Emotion,face-smiling,1F923,fully-qualified,🤣,E3.0 rolling on the floor laughing
Smileys & Emotion,face-smiling,1F602,fully-qualified,😂,E0.6 face with tears of joy
Smileys & Emotion,face-smiling,1F642,fully-qualified,🙂,E1.0 slightly smiling face
Smileys & Emotion,face-smiling,1F643,fully-qualified,🙃,E1.0 upside-down face
Smileys & Emotion,face-smiling,1FAE0,fully-qualified,🫠,E14.0 melting face
Smileys & Emotion,face-smiling,1F609,fully-qualified,😉,E0.6 winking face
Smileys & Emotion,face-smiling,1F60A,fully-qualified,😊,E0.6 smiling face with smiling eyes
Smileys & Emotion,face-smiling,1F607,fully-qualified,😇,E1.0 smiling face with halo
Smileys & Emotion,face-affection,1F970,fully-qualified,🥰,E11.0 smiling face with hearts
Smileys & Emotion,face-affection,1F60D,fully-qualified,😍,E0.6 smiling face with heart-eyes
Smileys & Emotion,face-affection,1F929,fully-qualified,🤩,E5.0 star-struck
Smileys & Emotion,face-affection,1F618,fully-qualified,😘,E0.6 face blowing a kiss
Smileys & Emotion,face-affection,1F617,fully-qualified,😗,E1.0 kissing face
Smileys & Emotion,face-affection,263A FE0F,fully-qualified,☺️,E0.6 smiling face
Smileys & Emotion,face-affection,263A,unqualified,☺,E0.6 smiling face
Smileys & Emotion,face-affection,1F61A,fully-qualified,😚,E0.6 kissing face with closed eyes
Smileys & Emotion,face-affection,1F619,fully-qualified,😙,E1.0 kissing face with smiling eyes
Smileys & Emotion,face-affection,1F972,fully-qualified,🥲,E13.0 smiling face with tear
Smileys & Emotion,face-tongue,1F60B,fully-qualified,😋,E0.6 face savoring food
Smileys & Emotion,face-tongue,1F61B,fully-qualified,😛,E1.0 face with tongue
Smileys & Emotion,face-tongue,1F61C,fully-qualified,😜,E0.6 winking face with tongue
Smileys & Emotion,face-tongue,1F92A,fully-qualified,🤪,E5.0 zany face
Smileys & Emotion,face-tongue,1F61D,fully-qualified,😝,E0.6 squinting face with tongue
Smileys & Emotion,face-tongue,1F911,fully-qualified,🤑,E1.0 money-mouth face
Smileys & Emotion,face-hand,1F917,fully-qualified,🤗,E1.0 smiling face with open hands
Smileys & Emotion,face-hand,1F92D,fully-qualified,🤭,E5.0 face with hand over mouth
Smileys & Emotion,face-hand,1FAE2,fully-qualified,🫢,E14.0 face with open eyes and hand over mouth
Smileys & Emotion,face-hand,1FAE3,fully-qualified,🫣,E14.0 face with peeking eye
Smileys & Emotion,face-hand,1F92B,fully-qualified,🤫,E5.0 shushing face
Smileys & Emotion,face-hand,1F914,fully-qualified,🤔,E1.0 thinking face
Smileys & Emotion,face-hand,1FAE1,fully-qualified,🫡,E14.0 saluting face
Smileys & Emotion,face-neutral-skeptical,1F910,fully-qualified,🤐,E1.0 zipper-mouth face
Smileys & Emotion,face-neutral-skeptical,1F928,fully-qualified,🤨,E5.0 face with raised eyebrow
Smileys & Emotion,face-neutral-skeptical,1F610,fully-qualified,😐,E0.7 neutral face
Smileys & Emotion,face-neutral-skeptical,1F611,fully-qualified,😑,E1.0 expressionless face
Smileys & Emotion,face-neutral-skeptical,1F636,fully-qualified,😶,E1.0 face without mouth
Smileys & Emotion,face-neutral-skeptical,1FAE5,fully-qualified,🫥,E14.0 dotted line face
Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B FE0F,fully-qualified,😶‍🌫️,E13.1 face in clouds
Smileys & Emotion,face-neutral-skeptical,1F636 200D 1F32B,minimally-qualified,😶‍🌫,E13.1 face in clouds
Smileys & Emotion,face-neutral-skeptical,1F60F,fully-qualified,😏,E0.6 smirking face
Smileys & Emotion,face-neutral-skeptical,1F612,fully-qualified,😒,E0.6 unamused face
Smileys & Emotion,face-neutral-skeptical,1F644,fully-qualified,🙄,E1.0 face with rolling eyes
Smileys & Emotion,face-neutral-skeptical,1F62C,fully-qualified,😬,E1.0 grimacing face
Smileys & Emotion,face-neutral-skeptical,1F62E 200D 1F4A8,fully-qualified,😮‍💨,E13.1 face exhaling
Smileys & Emotion,face-neutral-skeptical,1F925,fully-qualified,🤥,E3.0 lying face
Smileys & Emotion,face-neutral-skeptical,1FAE8,fully-qualified,🫨,E15.0 shaking face
Smileys & Emotion,face-neutral-skeptical,1F642 200D 2194 FE0F,fully-qualified,🙂‍↔️,E15.1 head shaking horizontally
Smileys & Emotion,face-neutral-skeptical,1F642 200D 2194,minimally-qualified,🙂‍↔,E15.1 head shaking horizontally
Smileys & Emotion,face-neutral-skeptical,1F642 200D 2195 FE0F,fully-qualified,🙂‍↕️,E15.1 head shaking vertically
Smileys & Emotion,face-neutral-skeptical,1F642 200D 2195,minimally-qualified,🙂‍↕,E15.1 head shaking vertically
Smileys & Emotion,face-sleepy,1F60C,fully-qualified,😌,E0.6 relieved face
Smileys & Emotion,face-sleepy,1F614,fully-qualified,😔,E0.6 pensive face
Smileys & Emotion,face-sleepy,1F62A,fully-qualified,😪,E0.6 sleepy face
Smileys & Emotion,face-sleepy,1F924,fully-qualified,🤤,E3.0 drooling face
Smileys & Emotion,face-sleepy,1F634,fully-qualified,😴,E1.0 sleeping face
Smileys & Emotion,face-unwell,1F637,fully-qualified,😷,E0.6 face with medical mask
Smileys & Emotion,face-unwell,1F912,fully-qualified,🤒,E1.0 face with thermometer
Smileys & Emotion,face-unwell,1F915,fully-qualified,🤕,E1.0 face with head-bandage
Smileys & Emotion,face-unwell,1F922,fully-qualified,🤢,E3.0 nauseated face
Smileys & Emotion,face-unwell,1F92E,fully-qualified,🤮,E5.0 face vomiting
Smileys & Emotion,face-unwell,1F927,fully-qualified,🤧,E3.0 sneezing face
Smileys & Emotion,face-unwell,1F975,fully-qualified,🥵,E11.0 hot face
Smileys & Emotion,face-unwell,1F976,fully-qualified,🥶,E11.0 cold face
Smileys & Emotion,face-unwell,1F974,fully-qualified,🥴,E11.0 woozy face
Smileys & Emotion,face-unwell,1F635,fully-qualified,😵,E0.6 face with crossed-out eyes
Smileys & Emotion,face-unwell,1F635 200D 1F4AB,fully-qualified,😵‍💫,E13.1 face with spiral eyes
Smileys & Emotion,face-unwell,1F92F,fully-qualified,🤯,E5.0 exploding head
Smileys & Emotion,face-hat,1F920,fully-qualified,🤠,E3.0 cowboy hat face
Smileys & Emotion,face-hat,1F973,fully-qualified,🥳,E11.0 partying face
Smileys & Emotion,face-hat,1F978,fully-qualified,🥸,E13.0 disguised face
Smileys & Emotion,face-glasses,1F60E,fully-qualified,😎,E1.0 smiling face with sunglasses
Smileys & Emotion,face-glasses,1F913,fully-qualified,🤓,E1.0 nerd face
Smileys & Emotion,face-glasses,1F9D0,fully-qualified,🧐,E5.0 face with monocle
Smileys & Emotion,face-concerned,1F615,fully-qualified,😕,E1.0 confused face
Smileys & Emotion,face-concerned,1FAE4,fully-qualified,🫤,E14.0 face with diagonal mouth
Smileys & Emotion,face-concerned,1F61F,fully-qualified,😟,E1.0 worried face
Smileys & Emotion,face-concerned,1F641,fully-qualified,🙁,E1.0 slightly frowning face
Smileys & Emotion,face-concerned,2639 FE0F,fully-qualified,☹️,E0.7 frowning face
Smileys & Emotion,face-concerned,2639,unqualified,☹,E0.7 frowning face
Smileys & Emotion,face-concerned,1F62E,fully-qualified,😮,E1.0 face with open mouth
Smileys & Emotion,face-concerned,1F62F,fully-qualified,😯,E1.0 hushed face
Smileys & Emotion,face-concerned,1F632,fully-qualified,😲,E0.6 astonished face
Smileys & Emotion,face-concerned,1F633,fully-qualified,😳,E0.6 flushed face
Smileys & Emotion,face-concerned,1F97A,fully-qualified,🥺,E11.0 pleading face
Smileys & Emotion,face-concerned,1F979,fully-qualified,🥹,E14.0 face holding back tears
Smileys & Emotion,face-concerned,1F626,fully-qualified,😦,E1.0 frowning face with open mouth
Smileys & Emotion,face-concerned,1F627,fully-qualified,😧,E1.0 anguished face
Smileys & Emotion,face-concerned,1F628,fully-qualified,😨,E0.6 fearful face
Smileys & Emotion,face-concerned,1F630,fully-qualified,😰,E0.6 anxious face with sweat
Smileys & Emotion,face-concerned,1F625,fully-qualified,😥,E0.6 sad but relieved face
Smileys & Emotion,face-concerned,1F622,fully-qualified,😢,E0.6 crying face
Smileys & Emotion,face-concerned,1F62D,fully-qualified,😭,E0.6 loudly crying face
Smileys & Emotion,face-concerned,1F631,fully-qualified,😱,E0.6 face screaming in fear
Smileys & Emotion,face-concerned,1F616,fully-qualified,😖,E0.6 confounded face
Smileys & Emotion,face-concerned,1F623,fully-qualified,😣,E0.6 persevering face
Smileys & Emotion,face-concerned,1F61E,fully-qualified,😞,E0.6 disappointed face
Smileys & Emotion,face-concerned,1F613,fully-qualified,😓,E0.6 downcast face with sweat
Smileys & Emotion,face-concerned,1F629,fully-qualified,😩,E0.6 weary face
Smileys & Emotion,face-concerned,1F62B,fully-qualified,😫,E0.6 tired face
Smileys & Emotion,face-concerned,1F971,fully-qualified,🥱,E12.0 yawning face
Smileys & Emotion,face-negative,1F624,fully-qualified,😤,E0.6 face with steam from nose
Smileys & Emotion,face-negative,1F621,fully-qualified,😡,E0.6 enraged face
Smileys & Emotion,face-negative,1F620,fully-qualified,😠,E0.6 angry face
Smileys & Emotion,face-negative,1F92C,fully-qualified,🤬,E5.0 face with symbols on mouth
Smileys & Emotion,face-negative,1F608,fully-qualified,😈,E1.0 smiling face with horns
Smileys & Emotion,face-negative,1F47F,fully-qualified,👿,E0.6 angry face with horns
Smileys & Emotion,face-negative,1F480,fully-qualified,💀,E0.6 skull
Smileys & Emotion,face-negative,2620 FE0F,fully-qualified,☠️,E1.0 skull and crossbones
Smileys & Emotion,face-negative,2620,unqualified,☠,E1.0 skull and crossbones
Smileys & Emotion,face-costume,1F4A9,fully-qualified,💩,E0.6 pile of poo
Smileys & Emotion,face-costume,1F921,fully-qualified,🤡,E3.0 clown face
Smileys & Emotion,face-costume,1F479,fully-qualified,👹,E0.6 ogre
Smileys & Emotion,face-costume,1F47A,fully-qualified,👺,E0.6 goblin
Smileys & Emotion,face-costume,1F47B,fully-qualified,👻,E0.6 ghost
Smileys & Emotion,face-costume,1F47D,fully-qualified,👽,E0.6 alien
Smileys & Emotion,face-costume,1F47E,fully-qualified,👾,E0.6 alien monster
Smileys & Emotion,face-costume,1F916,fully-qualified,🤖,E1.0 robot
Smileys & Emotion,cat-face,1F63A,fully-qualified,😺,E0.6 grinning cat
Smileys & Emotion,cat-face,1F638,fully-qualified,😸,E0.6 grinning cat with smiling eyes
Smileys & Emotion,cat-face,1F639,fully-qualified,😹,E0.6 cat with tears of joy
Smileys & Emotion,cat-face,1F63B,fully-qualified,😻,E0.6 smiling cat with heart-eyes
Smileys & Emotion,cat-face,1F63C,fully-qualified,😼,E0.6 cat with wry smile
Smileys & Emotion,cat-face,1F63D,fully-qualified,😽,E0.6 kissing cat
Smileys & Emotion,cat-face,1F640,fully-qualified,🙀,E0.6 weary cat
Smileys & Emotion,cat-face,1F63F,fully-qualified,😿,E0.6 crying cat
Smileys & Emotion,cat-face,1F63E,fully-qualified,😾,E0.6 pouting cat
Smileys & Emotion,monkey-face,1F648,fully-qualified,🙈,E0.6 see-no-evil monkey
Smileys & Emotion,monkey-face,1F649,fully-qualified,🙉,E0.6 hear-no-evil monkey
Smileys & Emotion,monkey-face,1F64A,fully-qualified,🙊,E0.6 speak-no-evil monkey
Smileys & Emotion,heart,1F48C,fully-qualified,💌,E0.6 love letter
Smileys & Emotion,heart,1F498,fully-qualified,💘,E0.6 heart with arrow
Smileys & Emotion,heart,1F49D,fully-qualified,💝,E0.6 heart with ribbon
Smileys & Emotion,heart,1F496,fully-qualified,💖,E0.6 sparkling heart
Smileys & Emotion,heart,1F497,fully-qualified,💗,E0.6 growing heart
Smileys & Emotion,heart,1F493,fully-qualified,💓,E0.6 beating heart
Smileys & Emotion,heart,1F49E,fully-qualified,💞,E0.6 revolving hearts
Smileys & Emotion,heart,1F495,fully-qualified,💕,E0.6 two hearts
Smileys & Emotion,heart,1F49F,fully-qualified,💟,E0.6 heart decoration
Smileys & Emotion,heart,2763 FE0F,fully-qualified,❣️,E1.0 heart exclamation
Smileys & Emotion,heart,2763,unqualified,❣,E1.0 heart exclamation
Smileys & Emotion,heart,1F494,fully-qualified,💔,E0.6 broken heart
Smileys & Emotion,heart,2764 FE0F 200D 1F525,fully-qualified,❤️‍🔥,E13.1 heart on fire
Smileys & Emotion,heart,2764 200D 1F525,unqualified,❤‍🔥,E13.1 heart on fire
Smileys & Emotion,heart,2764 FE0F 200D 1FA79,fully-qualified,❤️‍🩹,E13.1 mending heart
Smileys & Emotion,heart,2764 200D 1FA79,unqualified,❤‍🩹,E13.1 mending heart
Smileys & Emotion,heart,2764 FE0F,fully-qualified,❤️,E0.6 red heart
Smileys & Emotion,heart,2764,unqualified,❤,E0.6 red heart
Smileys & Emotion,heart,1FA77,fully-qualified,🩷,E15.0 pink heart
Smileys & Emotion,heart,1F9E1,fully-qualified,🧡,E5.0 orange heart
Smileys & Emotion,heart,1F49B,fully-qualified,💛,E0.6 yellow heart
Smileys & Emotion,heart,1F49A,fully-qualified,💚,E0.6 green heart
Smileys & Emotion,heart,1F499,fully-qualified,💙,E0.6 blue heart
Smileys & Emotion,heart,1FA75,fully-qualified,🩵,E15.0 light blue heart
Smileys & Emotion,heart,1F49C,fully-qualified,💜,E0.6 purple heart
Smileys & Emotion,heart,1F90E,fully-qualified,🤎,E12.0 brown heart
Smileys & Emotion,heart,1F5A4,fully-qualified,🖤,E3.0 black heart
